Car_ID,Customer_ID,Car_Brand,Fuel_Type,Car_Type,Vehicule_Power,Car_Age,Mileage,Car_Price
1244984,23034645,Saab,Diesel,Minivan,229.0,6.0,59873.0,103041.46
1252537,23035220,,Diesel,SUV,,5.0,56325.0,
1253896,23035427,Nissan,,Minivan,269.0,11.0,,120197.44
1276037,23036316,Chrysler,Petrol,Crossover,,8.0,76249.0,77818.96
1292352,23036374,Suzuki,Diesel,Coupe,396.0,5.0,58427.0,189804.35
1294449,23037792,,Diesel,,263.0,5.0,,119177.81
1301412,23038861,Buick,,SUV,338.0,,,141260.46
1306959,23040358,Ford,Diesel,Minivan,237.0,10.0,96149.0,95306.52
1316454,23041276,Buick,Electric,,312.0,10.0,,136155.35
1340778,23044764,,,Coupe,222.0,4.0,,110199.27
1341049,23047093,Porsche,Electric,Coupe,,6.0,59818.0,117505.75
1344394,23048512,Dodge,Diesel,Sedan,,,,174739.85
1344493,23049522,Ford,Petrol,Crossover,313.0,6.0,62821.0,143577.81
1352211,23050245,Chevrolet,Petrol,Coupe,271.0,9.0,,110641.7
1361250,23050518,,Diesel,SUV,393.0,12.0,,165034.44
1361645,23051170,,Diesel,Hatchback,,8.0,,18111.11
1361859,23052026,,,SUV,308.0,,52177.0,155549.53
1368559,23053991,Mazda,,Electric Car (EV),487.0,6.0,,228404.61
1369344,23054621,Mazda,Petrol,Hatchback,251.0,13.0,111718.0,
1370088,23055282,Dodge,Petrol,,86.0,7.0,69535.0,23302.52
1371102,23055553,,Diesel,Sports Car,410.0,6.0,59898.0,198357.21
1389845,23057476,Mercury,Petrol,Sports Car,,6.0,62197.0,150708.13
1397544,23060539,Daewoo,Petrol,Sedan,82.0,8.0,,24199.36
1404228,23061804,Chevrolet,Hybrid,Crossover,,4.0,,141981.61
1409636,23061809,Mazda,Diesel,,345.0,,,
1419700,23063541,GMC,Diesel,Hatchback,152.0,10.0,92713.0,53027.89
1421117,23064303,,,Hatchback,299.0,8.0,76340.0,128113.36
1443807,23064309,Toyota,Petrol,Crossover,189.0,7.0,70479.0,80642.0
1445099,23064312,Pontiac,Electric,Pickup Truck,164.0,10.0,94538.0,63173.78
1451867,23071895,Porsche,,Coupe,334.0,4.0,,
1453215,23073424,,Electric,Sedan,116.0,5.0,59348.0,49147.99
1482038,23073755,,Diesel,Minivan,163.0,8.0,75000.0,63248.22
1532083,23074509,Pontiac,,SUV,140.0,,74345.0,53303.86
1538185,23074684,Pontiac,Hybrid,Sedan,189.0,,,
1560671,23075678,Buick,,Crossover,318.0,5.0,57123.0,147507.83
1561568,23077113,Volvo,Diesel,Sedan,,6.0,63557.0,90801.99
1562110,23079696,Buick,,Pickup Truck,156.0,8.0,78376.0,53271.86
1564271,23081063,Bentley,Petrol,Sedan,391.0,,74350.0,181503.31
1564901,23083134,Mercedes-Benz,Electric,Sedan,224.0,,,
1567819,23085722,Chevrolet,Electric,,112.0,2.0,28555.0,46757.83
1572745,23086305,,Diesel,Pickup Truck,210.0,6.0,67061.0,94626.37
1572950,23090618,Isuzu,Hybrid,Crossover,,7.0,68982.0,
1578155,23091435,Plymouth,,SUV,118.0,18.0,138498.0,25026.32
1582682,23092598,,Diesel,Crossover,327.0,,62795.0,155742.75
1592120,23094015,Pontiac,Petrol,SUV,,8.0,75580.0,
1600122,23095113,,Petrol,,286.0,11.0,99611.0,126199.47
1648892,23096081,Lincoln,,Sedan,342.0,9.0,88146.0,
1662215,23096620,Volkswagen,Electric,,,12.0,,43171.82
1675725,23097136,Toyota,Electric,Crossover,176.0,3.0,,80928.17
1675894,23098401,Acura,Petrol,Coupe,,4.0,44719.0,58687.62
1678884,23098464,Ford,Electric,Hatchback,231.0,5.0,54032.0,103842.79
1681376,23098894,Lincoln,Petrol,,187.0,,34163.0,89162.4
1685299,23099438,Chevrolet,Hybrid,Pickup Truck,,,,97377.2
1692015,23104304,,,SUV,112.0,4.0,46292.0,43742.28
1696476,23106042,Ford,Diesel,Crossover,343.0,,,
1702232,23106261,,Diesel,Minivan,166.0,4.0,49144.0,78037.43
1706663,23106268,Plymouth,,Sedan,,,59284.0,156973.41
1710706,23106352,,Diesel,Pickup Truck,275.0,9.0,89756.0,125414.61
1745877,23109346,Subaru,Diesel,Crossover,220.0,3.0,40152.0,114896.46
1750558,23111274,,Petrol,Crossover,261.0,2.0,33466.0,133824.17
1751692,23111945,,,SUV,198.0,,72250.0,
1752050,23112088,Lexus,,Sedan,201.0,,74711.0,
1755097,23114774,MINI,Petrol,,218.0,9.0,88782.0,
1763678,23115079,BMW,Hybrid,SUV,,8.0,81807.0,48353.7
1764792,23115842,,,Hatchback,256.0,,75539.0,118870.31
1771197,23116250,Honda,Diesel,Sports Car,434.0,5.0,51287.0,210105.0
1775498,23117012,Ford,,,246.0,7.0,74074.0,
1777584,23118581,,,Sedan,398.0,7.0,75110.0,185668.89
1781596,23122115,,Petrol,Sedan,,4.0,50846.0,137229.54
1793618,23122772,Nissan,Electric,,113.0,14.0,121193.0,
1798425,23122828,Chevrolet,Petrol,Coupe,350.0,,80145.0,
1803663,23123960,,Electric,SUV,116.0,4.0,45442.0,52458.79
1817322,23124673,,Diesel,Sedan,,9.0,,
1817823,23126513,Dodge,Petrol,,,10.0,,
1820346,23128760,Volkswagen,Diesel,Crossover,,,78651.0,53081.44
1821173,23130581,Mazda,Petrol,,278.0,6.0,61488.0,121638.7
1827027,23130959,Mercedes-Benz,Diesel,Hatchback,151.0,,,72808.13
1856338,23132411,GMC,Electric,,194.0,6.0,65849.0,
1868319,23134908,Ram,Petrol,Crossover,,8.0,76297.0,108247.14
1915870,23135041,Lotus,,SUV,174.0,,68244.0,
1923432,23135586,Mitsubishi,Electric,,108.0,12.0,108370.0,25123.11
1939149,23137196,Pontiac,Diesel,Crossover,150.0,9.0,84723.0,
1949859,23137535,Toyota,Diesel,,,4.0,,
1952217,23138411,,Hybrid,Sports Car,490.0,,,248893.39
1956787,23142229,,Petrol,SUV,392.0,,,
1963676,23142589,Chevrolet,,Crossover,156.0,6.0,61830.0,
1971423,23142702,GMC,Petrol,Sedan,388.0,9.0,86975.0,184861.9
1985883,23143130,Toyota,,,318.0,8.0,,141013.07
1999703,23144350,,Petrol,,388.0,6.0,65954.0,185658.33
2007685,23144436,Audi,Diesel,SUV,,4.0,48079.0,
2021150,23144438,,Petrol,Crossover,309.0,,35284.0,150608.08
2024916,23148678,Toyota,Diesel,Sedan,,7.0,73124.0,158056.0
2030388,23150177,,Hybrid,,368.0,,39811.0,
2038298,23151342,BMW,,,,4.0,46702.0,
2039343,23151538,,Electric,Crossover,291.0,7.0,71479.0,
2043548,23151925,Isuzu,Diesel,Crossover,293.0,7.0,69341.0,134616.98
2048169,23152784,,Diesel,SUV,,3.0,42139.0,175950.82
2049931,23153014,Infiniti,Electric,SUV,330.0,11.0,97462.0,139677.08
2060378,23153151,Mazda,Petrol,,247.0,11.0,96731.0,101122.27
2061265,23154265,Bentley,,Crossover,142.0,8.0,81415.0,51811.42
2139450,23154827,Mercedes-Benz,Petrol,Crossover,,8.0,81442.0,160225.57
2156929,23155503,,Diesel,,,8.0,81259.0,130395.55
2160756,23156266,,,Sedan,328.0,,168066.0,
2173735,23157093,,Petrol,Sedan,184.0,10.0,93837.0,
2174418,23157762,,Diesel,Sedan,180.0,,,74530.99
2176308,23157930,Nissan,Hybrid,,289.0,,,133729.44
2186528,23158902,Chevrolet,Petrol,,218.0,6.0,61725.0,98078.83
2186999,23159334,Lincoln,Petrol,,124.0,,,25955.94
2188634,23159978,Mitsubishi,Petrol,,,2.0,29274.0,127074.63
2196715,23161856,Volkswagen,,SUV,218.0,5.0,56107.0,102495.04
2200347,23163205,BMW,,Sedan,131.0,11.0,97809.0,42504.25
2205097,23164088,,Petrol,,,4.0,50590.0,88253.66
2216005,23164404,,,Coupe,328.0,9.0,86360.0,140032.01
2218626,23167711,Ford,Petrol,Minivan,207.0,7.0,,82792.12
2231311,23168313,Chevrolet,Hybrid,SUV,199.0,5.0,51986.0,93550.08
2231573,23169591,Chevrolet,Hybrid,Pickup Truck,312.0,2.0,27111.0,
2254002,23169906,,Petrol,Pickup Truck,,7.0,,
2256596,23170241,Chevrolet,Diesel,Sedan,,4.0,49205.0,122606.59
2260569,23171629,GMC,Petrol,SUV,,,64818.0,161710.51
2264274,23171631,Lexus,,SUV,,8.0,81120.0,82512.01
2272737,23171723,,,Crossover,181.0,10.0,,
2282136,23172181,,,SUV,194.0,5.0,55740.0,81142.55
2285714,23172685,,Electric,,350.0,5.0,51781.0,164606.64
2293355,23172720,BMW,Diesel,Sedan,,3.0,39330.0,117822.98
2300650,23174324,,Hybrid,Hatchback,,10.0,92910.0,97589.54
2301150,23174336,,Diesel,Sedan,393.0,16.0,128870.0,161451.19
2304885,23174519,Audi,,,201.0,10.0,96670.0,74757.45
2308470,23175356,Audi,Petrol,SUV,,,103271.0,
2316769,23176086,Ford,Electric,,,4.0,,94860.36
2316841,23177114,Volkswagen,Hybrid,SUV,322.0,8.0,79091.0,150320.29
2318653,23179541,Chevrolet,Electric,,,9.0,,40909.73
2326466,23180369,Mazda,Petrol,Coupe,,0.0,,130712.76
2330828,23182791,Cadillac,Diesel,Crossover,332.0,4.0,44034.0,158058.81
2335018,23183185,Lincoln,,Hatchback,210.0,13.0,,
2348220,23183472,Chevrolet,Petrol,Hatchback,169.0,3.0,36391.0,90697.12
2367837,23184116,Hyundai,Diesel,Crossover,,12.0,,36236.89
2377373,23184486,Cadillac,,Pickup Truck,276.0,3.0,36534.0,134944.52
2380854,23185824,Mercedes-Benz,,,213.0,4.0,44810.0,94386.82
2382401,23186866,Pontiac,Petrol,Crossover,206.0,,,
2385771,23187704,,Hybrid,,161.0,7.0,69863.0,61967.69
2398371,23189464,Ford,Petrol,SUV,,,57969.0,137326.92
2408967,23189917,Dodge,,SUV,292.0,13.0,112154.0,125658.92
2414377,23190409,,Electric,,400.0,3.0,39945.0,197063.96
2426992,23190466,Oldsmobile,Diesel,,216.0,6.0,64040.0,
2466322,23195575,Mitsubishi,Electric,,336.0,9.0,83858.0,
2466984,23198724,Volkswagen,Diesel,Hatchback,,,74778.0,
2484365,23199577,Mitsubishi,Petrol,,363.0,5.0,52789.0,169856.45
2485945,23200083,,,,255.0,5.0,53345.0,113772.57
2486546,23200103,Ford,Petrol,SUV,335.0,10.0,90884.0,151041.4
2489437,23200900,Aston Martin,,Sedan,172.0,10.0,,
2502169,23200939,,Petrol,,112.0,8.0,75431.0,
2508933,23201283,Chevrolet,Petrol,,391.0,4.0,48244.0,
2517387,23204125,Buick,Diesel,Sedan,,5.0,54192.0,152776.25
2518929,23205760,,Petrol,SUV,,,67333.0,171960.76
2519019,23206339,GMC,Petrol,Crossover,,7.0,70705.0,
2523793,23207557,,Diesel,Coupe,319.0,8.0,82375.0,138980.0
2531017,23210244,,Diesel,SUV,155.0,,62495.0,55070.81
2533381,23211229,,Petrol,Sedan,152.0,10.0,90262.0,
2543808,23212149,Subaru,Petrol,,231.0,,,87950.8
2555451,23212908,Nissan,Electric,Sedan,258.0,12.0,,99532.26
2565556,23213470,Chrysler,Electric,Coupe,302.0,7.0,68114.0,138255.7
2568502,23214887,Honda,Petrol,Pickup Truck,398.0,,76262.0,179842.26
2570245,23215489,Volkswagen,,Sedan,182.0,6.0,64353.0,86843.17
2585262,23215601,Pontiac,Petrol,Minivan,,4.0,48648.0,121894.62
2588451,23216657,Mazda,,SUV,344.0,16.0,127648.0,142378.78
2592314,23217105,,Electric,Sedan,182.0,11.0,99567.0,
2597547,23217611,Hyundai,Hybrid,Hatchback,,9.0,89490.0,117713.48
2611722,23217776,Chevrolet,Petrol,Minivan,164.0,6.0,,71900.07
2627563,23219524,Ford,,Sedan,100.0,4.0,,42608.94
2671196,23220709,Pontiac,Hybrid,Hatchback,293.0,,94428.0,
2677576,23221503,,,,,6.0,64212.0,
2681765,23221516,Chrysler,Petrol,Sedan,266.0,8.0,78176.0,
2685894,23222134,Mazda,,,114.0,,,
2689827,23223371,Ferrari,Diesel,Sedan,221.0,,74270.0,93794.78
2703666,23226444,,,,288.0,5.0,55360.0,133640.08
2717605,23226475,Suzuki,Petrol,Crossover,233.0,5.0,56134.0,112602.13
2718527,23228466,,Diesel,Minivan,258.0,7.0,,
2720129,23232298,Volvo,Petrol,Sedan,301.0,3.0,36272.0,150286.0
2733111,23232458,GMC,Diesel,,380.0,,,
2733659,23232487,Lotus,Diesel,Crossover,,4.0,50684.0,85623.79
2736099,23233701,,,SUV,175.0,6.0,62314.0,72552.12
2739117,23235006,Ford,Hybrid,Crossover,,10.0,91098.0,
2753832,23235335,,,Crossover,300.0,,63587.0,137868.1
2756385,23235450,GMC,Hybrid,Sedan,,6.0,67137.0,
2757495,23235749,Saab,Diesel,Crossover,136.0,6.0,60691.0,
2758735,23236230,,Petrol,Sedan,350.0,8.0,,163470.52
2759417,23236804,Chevrolet,Diesel,,,,47643.0,74828.45
2779852,23236869,Eagle,Petrol,Sedan,,6.0,65025.0,24203.59
2811696,23238352,Suzuki,Diesel,Sedan,312.0,8.0,78335.0,137865.23
2833665,23239763,,Diesel,Hatchback,117.0,,73498.0,43787.77
2834869,23239933,,Electric,Hatchback,,7.0,67895.0,38456.84
2839576,23240236,Honda,Diesel,,276.0,7.0,68503.0,
2856130,23240325,Maserati,,,291.0,8.0,81137.0,
2860047,23240403,Toyota,Petrol,,216.0,16.0,129269.0,71773.83
2866140,23240851,Dodge,,,210.0,4.0,,95844.0
2867226,23240972,Toyota,Electric,SUV,,16.0,130288.0,52927.95
2867799,23241579,Buick,Diesel,,370.0,4.0,48358.0,180353.0
2870612,23242105,BMW,Diesel,SUV,161.0,2.0,25464.0,
2876117,23243023,Honda,Electric,,,,55056.0,
2876638,23245937,,Electric,,271.0,,,120644.53
2885541,23246721,,,Crossover,260.0,15.0,121403.0,102089.62
2888625,23247957,,Electric,,,4.0,,118404.63
2907954,23248175,Land Rover,Diesel,,386.0,8.0,80883.0,174958.28
2915692,23248638,Pontiac,Diesel,Crossover,,3.0,38340.0,151342.09
2916006,23248642,Chrysler,Hybrid,Coupe,331.0,14.0,120061.0,
2949490,23251297,Chevrolet,,Pickup Truck,159.0,11.0,100712.0,53956.45
2950742,23251972,BMW,Petrol,Hatchback,296.0,5.0,56339.0,140622.52
2953506,23255732,,Diesel,SUV,,2.0,31941.0,
2958458,23255881,Nissan,Diesel,Pickup Truck,,,105872.0,117020.57
2962791,23256287,Mercedes-Benz,Petrol,Convertible,,,,65960.14
2966454,23256877,Chevrolet,,,285.0,11.0,102494.0,108783.34
2984563,23257322,Lamborghini,Petrol,,237.0,,67778.0,107727.43
2987288,23258695,Lamborghini,Petrol,SUV,201.0,,,90708.56
2989663,23260625,Oldsmobile,Diesel,Crossover,195.0,5.0,56600.0,84776.24
2995100,23262154,BMW,Petrol,Coupe,384.0,9.0,,
3000895,23262480,Acura,Diesel,Crossover,,7.0,70628.0,65573.15
3001736,23263153,Honda,Hybrid,,273.0,8.0,,
3003490,23264915,,Petrol,Hatchback,127.0,,,
3020351,23265723,Suzuki,Diesel,,235.0,,103402.0,85479.13
3032485,23266633,Saturn,Diesel,,170.0,13.0,111239.0,64756.44
3033276,23266649,Chevrolet,Diesel,Minivan,187.0,7.0,,85118.74
3040136,23266998,,Electric,,160.0,16.0,126735.0,45252.34
3047595,23267170,Nissan,Petrol,Hatchback,241.0,14.0,117548.0,85259.58
3048703,23267455,GMC,Hybrid,,,9.0,85204.0,
3049455,23268303,Mitsubishi,Diesel,Coupe,304.0,12.0,106358.0,124589.27
3052417,23269478,Buick,Diesel,Crossover,186.0,,96664.0,72100.21
3062792,23269661,Hyundai,Diesel,Minivan,259.0,2.0,30824.0,126128.84
3065630,23270518,Chrysler,,Minivan,239.0,6.0,60777.0,112162.9
3090479,23270762,Chevrolet,Diesel,Crossover,,9.0,86931.0,71798.43
3091991,23272130,,,,152.0,13.0,114098.0,45505.35
3095874,23272487,,Diesel,Sedan,264.0,,,121346.68
3096853,23272930,Mercedes-Benz,Petrol,Sports Car,,2.0,,168514.78
3107064,23274084,Infiniti,,Crossover,283.0,6.0,65834.0,132233.29
3128999,23274524,,Petrol,Minivan,243.0,2.0,26500.0,115083.52
3130471,23275028,Lincoln,Diesel,Sedan,160.0,,65139.0,65356.82
3135569,23275580,Volkswagen,Electric,Sedan,,8.0,77350.0,126730.69
3156073,23276331,Land Rover,Diesel,Sedan,344.0,,45932.0,165413.68
3159060,23276737,Daewoo,Electric,SUV,,,66327.0,129852.51
3162249,23277936,,,Sedan,247.0,,,103726.99
3162326,23278004,Honda,Electric,SUV,,,,100812.09
3166105,23278589,Bentley,Electric,Sedan,82.0,,49000.0,34194.61
3166431,23278599,Dodge,Petrol,Crossover,278.0,6.0,65297.0,
3172468,23279010,,Petrol,SUV,196.0,,44188.0,92688.9
3177503,23281890,Jeep,Hybrid,Crossover,200.0,15.0,123959.0,
3178622,23281953,Chrysler,Diesel,Crossover,343.0,7.0,68457.0,144528.69
3184540,23282221,Chevrolet,Diesel,SUV,330.0,,,
3200320,23283139,,,SUV,207.0,7.0,,
3203605,23283214,,,Crossover,,6.0,64900.0,122701.49
3214665,23284482,,Electric,Crossover,108.0,6.0,,40818.14
3222999,23285672,Mazda,,Sedan,133.0,5.0,54987.0,59918.24
3239195,23285704,,Petrol,Crossover,243.0,5.0,,112077.59
3240282,23287025,Ford,Electric,SUV,264.0,3.0,35077.0,118791.69
3240317,23287830,Ford,Electric,Pickup Truck,320.0,12.0,106016.0,145893.26
3258374,23288242,,,Sedan,264.0,9.0,83132.0,
3289819,23288679,GMC,,,163.0,,75484.0,71374.84
3294499,23290110,Nissan,,,161.0,,,65191.03
3303002,23290219,Volkswagen,Petrol,SUV,301.0,,,151996.44
3330390,23290287,Ford,,,,,,129489.99
3342844,23290797,Chevrolet,Petrol,Sedan,,3.0,,196014.07
3353807,23292759,,Petrol,Hatchback,151.0,5.0,,62124.82
3356671,23294622,,Electric,Minivan,297.0,,43243.0,149042.11
3357551,23299526,,Electric,,,14.0,,
3364355,23300068,Ford,,Crossover,,10.0,91829.0,145857.75
3365219,23301874,Nissan,,,,7.0,69579.0,166913.31
3372809,23302211,,,Crossover,310.0,4.0,,145786.32
3386452,23302890,,Diesel,,245.0,4.0,44065.0,128258.39
3407332,23304645,Ford,Diesel,SUV,,6.0,,73828.3
3422006,23304899,Saab,Petrol,Crossover,326.0,,92991.0,141818.33
3424831,23307400,Chevrolet,Diesel,Sedan,198.0,3.0,36987.0,
3426242,23307654,,Electric,SUV,243.0,,82487.0,104652.36
3456372,23309103,GMC,,Pickup Truck,382.0,,51902.0,185792.91
3495038,23309518,Pontiac,Diesel,Crossover,349.0,5.0,55677.0,163244.07
3495737,23310622,Acura,Petrol,Pickup Truck,413.0,7.0,69072.0,195056.93
3498920,23310790,Mercedes-Benz,,Pickup Truck,353.0,,,162959.49
3502900,23312719,Ford,Diesel,Hatchback,,,61711.0,
3509278,23313053,Ford,Petrol,Pickup Truck,254.0,4.0,46715.0,119850.12
3526484,23313203,Mitsubishi,Petrol,Sedan,186.0,5.0,53695.0,80937.54
3546284,23315749,Porsche,Diesel,SUV,,9.0,,
3569737,23317865,,,Minivan,258.0,7.0,70195.0,113064.54
3577267,23318440,Mercury,Diesel,Sedan,,9.0,88137.0,127790.09
3580959,23318459,,,Minivan,162.0,5.0,51684.0,66210.41
3592154,23318966,Ford,Petrol,Convertible,196.0,9.0,82482.0,
3607880,23319013,Chevrolet,Petrol,,338.0,2.0,,165750.48
3608620,23319078,Kia,Electric,Pickup Truck,399.0,7.0,69170.0,185508.64
3611524,23320476,Mercury,Diesel,Hatchback,189.0,,85066.0,81775.95
3613303,23320805,Toyota,Diesel,Sedan,215.0,2.0,,
3615083,23321961,Buick,Electric,,282.0,,52287.0,129109.42
3615422,23322085,,,SUV,207.0,7.0,68886.0,88338.14
3621849,23322816,Chevrolet,Diesel,Crossover,340.0,10.0,95498.0,
3623481,23326464,Mercury,Petrol,Pickup Truck,,5.0,,
3631590,23326576,Porsche,Petrol,Hatchback,87.0,8.0,81768.0,24946.35
3634457,23328066,Mercedes-Benz,Hybrid,Hatchback,,12.0,108469.0,112023.29
3634548,23328195,GMC,Diesel,Pickup Truck,449.0,9.0,83392.0,
3638330,23328967,Mitsubishi,Electric,Sedan,122.0,,,46080.99
3649596,23329934,,Diesel,,,8.0,77372.0,128140.59
3653474,23331597,Isuzu,,Minivan,214.0,5.0,53109.0,99887.55
3653708,23331861,,,,,7.0,70004.0,181471.24
3660313,23333947,,,Hatchback,86.0,,,25617.75
3672265,23335127,Pontiac,Diesel,,145.0,8.0,76092.0,55529.42
3693275,23335144,,,Pickup Truck,355.0,5.0,57417.0,166929.02
3696927,23335422,Chevrolet,Electric,,369.0,,77854.0,179843.83
3698289,23336331,,Petrol,Hatchback,83.0,,57211.0,28255.75
3703166,23336824,Plymouth,,,140.0,10.0,91497.0,
3704191,23337128,Audi,Diesel,Sedan,326.0,5.0,,156333.47
3711682,23339851,Dodge,Petrol,Crossover,,2.0,27077.0,142909.49
3732943,23340938,Cadillac,Diesel,Hatchback,,4.0,44552.0,
3740247,23341621,Isuzu,Hybrid,SUV,167.0,7.0,68182.0,64555.28
3747059,23343949,BMW,Diesel,,346.0,13.0,115484.0,132419.22
3748892,23346067,,Diesel,SUV,130.0,10.0,90095.0,48402.52
3759214,23346621,Mazda,,SUV,123.0,,,
3777479,23349491,Acura,Petrol,,173.0,3.0,,
3798476,23350881,Mazda,Diesel,Pickup Truck,328.0,,99631.0,138076.39
3799255,23350949,Aston Martin,,Sedan,346.0,9.0,,163354.27
3802256,23351563,Volkswagen,,Crossover,145.0,,132492.0,
3834175,23351578,Audi,,Sedan,,5.0,56580.0,
3861011,23352425,GMC,Petrol,SUV,202.0,4.0,47828.0,90666.44
3861101,23354100,Mercedes-Benz,,,291.0,7.0,,
3868791,23355969,Chevrolet,Petrol,Crossover,,5.0,55818.0,88494.32
3887486,23356743,Lexus,Petrol,,,,96598.0,92509.38
3893184,23357236,Pontiac,Diesel,,,5.0,55007.0,99119.56
3894325,23358571,Ferrari,,,198.0,6.0,61248.0,
3902818,23358598,GMC,,Pickup Truck,,4.0,44901.0,180879.46
3905243,23358804,,Electric,SUV,369.0,,88372.0,167139.01
3914221,23359750,Mazda,Petrol,,323.0,4.0,46176.0,
3918874,23360406,Mazda,Hybrid,Crossover,288.0,,78738.0,120605.31
3921029,23361631,Land Rover,Hybrid,Sedan,,15.0,121211.0,143809.22
3923964,23361897,GMC,,Pickup Truck,324.0,2.0,30630.0,156836.97
3928087,23362058,Austin,Petrol,,234.0,13.0,109980.0,
3929732,23362087,Ford,Diesel,,85.0,7.0,,24875.78
3930220,23362919,Dodge,Petrol,SUV,380.0,,42305.0,175553.62
3948881,23363556,GMC,,Coupe,230.0,7.0,70375.0,98923.79
3962847,23364097,Scion,Diesel,Sedan,314.0,,,
3975058,23364264,,Petrol,Sedan,283.0,,48816.0,137409.51
3975450,23365380,Mazda,,,256.0,8.0,79701.0,114995.36
3975587,23365548,Pontiac,Petrol,Hatchback,211.0,13.0,112836.0,79032.66
3984204,23370150,Honda,Electric,Sedan,290.0,5.0,,140394.45
3994459,23370978,Mitsubishi,Electric,Sedan,349.0,,45017.0,170151.91
4001927,23371403,Dodge,Electric,Coupe,325.0,6.0,64464.0,
4002913,23371836,Suzuki,Petrol,,,,69031.0,107523.45
4005052,23371979,Buick,Petrol,Hatchback,,11.0,98041.0,106022.44
4007306,23372777,Saab,Petrol,Pickup Truck,399.0,,63774.0,
4009301,23373638,,,Crossover,249.0,5.0,56938.0,113522.6
4009864,23375251,Ford,,,82.0,4.0,44628.0,29429.3
4010564,23375509,,Electric,Sedan,,,32793.0,
4023238,23376606,,,Pickup Truck,163.0,,,72246.96
4033058,23376622,Mitsubishi,Diesel,SUV,,3.0,39020.0,
4037217,23379241,,,SUV,102.0,,,38838.77
4037666,23379626,Volkswagen,Petrol,,278.0,,,
4044924,23380248,Nissan,Diesel,,273.0,6.0,66385.0,
4060939,23380553,Mazda,,SUV,201.0,14.0,120423.0,74940.78
4063450,23380747,,Diesel,Crossover,322.0,,98876.0,
4067704,23381848,Chevrolet,Diesel,Crossover,,6.0,60964.0,
4071609,23382001,Subaru,Electric,,124.0,19.0,141536.0,31248.92
4086458,23382250,Plymouth,Electric,Sedan,,7.0,68926.0,77759.62
4089305,23383511,,Diesel,Hatchback,113.0,7.0,72518.0,
4092366,23383650,Volvo,Petrol,Crossover,,,64037.0,
4095161,23384139,,Petrol,Hatchback,177.0,6.0,,
4138629,23385641,Kia,Electric,SUV,370.0,,54515.0,176284.81
4142781,23387887,Nissan,Electric,,,6.0,61330.0,46755.22
4149031,23389875,Infiniti,Petrol,Crossover,264.0,,110165.0,101391.97
4150667,23393161,,Diesel,,181.0,11.0,102824.0,
4163336,23393574,,Diesel,Crossover,301.0,2.0,25969.0,158427.77
4163639,23393863,Pontiac,Electric,,,3.0,36722.0,
4172940,23394828,Pontiac,Diesel,Sedan,253.0,4.0,49266.0,122008.87
4189482,23396195,Dodge,Electric,,378.0,,93070.0,167360.55
4217643,23396323,Lincoln,Electric,,356.0,11.0,103247.0,152638.9
4227872,23399007,Buick,,Crossover,225.0,9.0,87569.0,85550.78
4227959,23399957,Toyota,,,,3.0,,157873.89
4229176,23402456,Suzuki,Petrol,SUV,115.0,,54958.0,44650.6
4242658,23402982,,Petrol,,,,80457.0,179065.33
4247597,23405235,GMC,Petrol,Pickup Truck,331.0,,61515.0,160188.35
4271912,23406624,,Electric,Sedan,394.0,5.0,58327.0,
4280325,23406686,Jeep,Diesel,Crossover,120.0,5.0,58667.0,54103.47
4295414,23410215,Ford,,,297.0,11.0,100214.0,
