Contract_ID,Customer_ID,Car_ID,Contract_length,Insurance_type,Cost_Per_Insurance_Type,Annual_premuim,Contract_Start_date
240215231,23132411,1856338,24.0,Liability Insurance,,23727.62,2021-12-25
240221207,23134908,1868319,60.0,Collision Coverage,0.25,135476.92,
240222017,23135041,1915870,12.0,,,7362.83,2023-09-13
240223267,23135586,1923432,36.0,Comprehensive Coverage,,11407.4,2023-03-19
240225459,23137196,1939149,36.0,Uninsured/Underinsured Motorist,0.1,20125.62,2020-10-22
240226529,23137535,1949859,60.0,Liability Insurance,0.15,,2021-03-17
240228441,23138411,1952217,,Uninsured/Underinsured Motorist,0.1,49834.68,
240229445,23142229,1956787,54.0,,0.15,124161.46,2023-03-12
240230825,23142589,1963676,60.0,Gap Insurance,,15821.46,2020-09-16
240231744,23142702,1971423,12.0,Personal Injury Protection (PIP),0.15,27893.28,2022-05-14
240232116,23143130,1985883,12.0,,0.25,,2022-12-14
240232607,23144350,1999703,,Uninsured/Underinsured Motorist,,,2020-08-27
240233750,23144436,2007685,12.0,Custom Parts and Equipment (CPE),0.03,,
240236586,23144438,2021150,,Personal Injury Protection (PIP),0.15,79119.24,2022-06-03
240236894,23148678,2024916,18.0,Personal Injury Protection (PIP),0.15,35676.6,
240237170,23150177,2030388,,Comprehensive Coverage,0.15,,2022-10-20
240238892,23151342,2038298,54.0,,0.15,,
240238938,23151538,2039343,,Uninsured/Underinsured Motorist,0.1,31620.04,2023-12-09
240240302,23151925,2043548,6.0,Uninsured/Underinsured Motorist,0.1,6794.85,2020-03-11
240240579,23152784,2048169,,Gap Insurance,0.05,8869.54,
240245409,23153014,2049931,12.0,Liability Insurance,0.15,21105.56,2021-04-01
240250131,23153151,2060378,30.0,Collision Coverage,0.25,,2020-04-09
240252496,23154265,2061265,6.0,Comprehensive Coverage,,3951.86,2022-03-04
240252563,23154827,2139450,6.0,Personal Injury Protection (PIP),0.15,12078.92,
240253499,23155503,2156929,,Liability Insurance,,29457.0,
240253776,23156266,2160756,6.0,,0.25,15394.2,2021-09-03
240254823,23157093,2173735,,Personal Injury Protection (PIP),0.15,20306.03,2023-05-12
240255608,23157762,2174418,,Classic Car Insurance,0.02,4565.86,2020-11-20
240258724,23157930,2176308,36.0,Liability Insurance,,60278.25,2023-02-09
240259148,23158902,2186528,54.0,Uninsured/Underinsured Motorist,0.1,,2022-11-24
240260976,23159334,2186999,36.0,Liability Insurance,,11824.17,
240261471,23159978,2188634,24.0,Collision Coverage,,,
240265252,23161856,2196715,24.0,,0.05,10413.5,2022-06-28
240265260,23163205,2200347,54.0,Uninsured/Underinsured Motorist,,19288.91,2022-04-08
240265379,23164088,2205097,18.0,,0.02,,2022-02-03
240267110,23164404,2216005,,,0.05,7057.6,2020-07-19
240267806,23167711,2218626,48.0,Liability Insurance,0.15,49721.27,2021-11-05
240268353,23168313,2231311,54.0,Uninsured/Underinsured Motorist,0.1,42241.54,2022-07-03
240269032,23169591,2231573,36.0,Liability Insurance,0.15,70439.78,2023-04-05
240269994,23169906,2254002,,Uninsured/Underinsured Motorist,0.1,4451.39,
240273546,23170241,2256596,30.0,Personal Injury Protection (PIP),0.15,46135.47,
240273914,23171629,2260569,36.0,Collision Coverage,0.25,121452.88,
240276420,23171631,2264274,36.0,,0.15,,2021-02-13
240276777,23171723,2272737,,,0.15,45754.8,2021-12-01
240277626,23172181,2282136,,,,42703.84,2023-01-23
240277743,23172685,2285714,,Personal Injury Protection (PIP),,37142.49,2020-05-15
240278361,23172720,2293355,42.0,Collision Coverage,0.25,103137.11,
240278443,23174324,2300650,,Collision Coverage,0.25,48840.77,
240283552,23174336,2301150,,,0.03,7383.3,2023-01-26
240284190,23174519,2304885,18.0,Liability Insurance,,,2021-02-16
240284293,23175356,2308470,48.0,Personal Injury Protection (PIP),0.15,19007.94,
240285705,23176086,2316769,18.0,Comprehensive Coverage,0.15,,
240286150,23177114,2316841,36.0,Comprehensive Coverage,0.15,67800.13,2022-11-22
240286522,23179541,2318653,12.0,Liability Insurance,0.15,,
240286551,23180369,2326466,48.0,Collision Coverage,0.25,130802.76,
240288049,23182791,2330828,24.0,Liability Insurance,0.15,47507.64,2020-07-26
240291576,23183185,2335018,30.0,,0.25,47461.02,2021-11-27
240292314,23183472,2348220,18.0,Liability Insurance,0.15,20476.85,2021-11-02
240293508,23184116,2367837,54.0,Liability Insurance,0.15,,2020-05-27
240293752,23184486,2377373,48.0,Personal Injury Protection (PIP),,81052.71,2020-12-12
240293759,23185824,2380854,42.0,,0.25,,2023-06-19
240294654,23186866,2382401,42.0,Personal Injury Protection (PIP),0.15,47699.21,2023-02-25
240294973,23187704,2385771,24.0,,,31097.84,2022-03-01
240295417,23189464,2398371,54.0,Personal Injury Protection (PIP),0.15,,
240298114,23189917,2408967,18.0,,0.15,28433.26,2022-06-26
240298562,23190409,2414377,,Comprehensive Coverage,,147935.97,2022-05-23
240299142,23190466,2426992,36.0,Personal Injury Protection (PIP),0.15,,2023-12-09
240299211,23195575,2466322,24.0,Liability Insurance,0.15,,2022-02-12
240299241,23198724,2466984,24.0,Comprehensive Coverage,0.15,,2022-09-13
240299432,23199577,2484365,30.0,Comprehensive Coverage,,63834.17,2022-01-25
240299677,23200083,2485945,,,0.25,,2020-04-09
240299927,23200103,2486546,30.0,Personal Injury Protection (PIP),0.15,56786.52,2022-01-02
240300404,23200900,2489437,42.0,,0.1,21586.4,2020-10-22
240301554,23200939,2502169,,Liability Insurance,0.15,,2023-12-23
240302196,23201283,2508933,36.0,Liability Insurance,0.15,,2023-11-15
240302362,23204125,2517387,6.0,Collision Coverage,0.25,,2021-10-04
240304296,23205760,2518929,,Comprehensive Coverage,0.15,,
240306558,23206339,2519019,36.0,Liability Insurance,0.15,33592.91,
240310586,23207557,2523793,,Uninsured/Underinsured Motorist,0.1,62587.0,2023-10-08
240313070,23210244,2531017,,Uninsured/Underinsured Motorist,0.1,11106.16,2020-05-24
240314401,23211229,2533381,,Uninsured/Underinsured Motorist,0.1,23924.89,2023-05-05
240314693,23212149,2543808,54.0,Liability Insurance,,59532.79,2020-04-23
240314703,23212908,2555451,6.0,Collision Coverage,0.25,12595.53,2020-09-17
240315415,23213470,2565556,36.0,Gap Insurance,0.05,20908.36,2020-02-10
240315937,23214887,2568502,48.0,Collision Coverage,0.25,179968.26,
240316560,23215489,2570245,6.0,,0.05,2349.08,2023-01-16
240318325,23215601,2585262,48.0,Uninsured/Underinsured Motorist,0.1,48913.85,
240319433,23216657,2588451,48.0,,0.15,85547.27,2020-02-23
240319460,23217105,2592314,,Collision Coverage,0.25,17157.71,2022-10-22
240320045,23217611,2597547,18.0,Custom Parts and Equipment (CPE),0.03,5405.11,
240320947,23217776,2611722,24.0,Collision Coverage,0.25,36120.04,2022-03-08
240320990,23219524,2627563,18.0,,0.05,3235.67,2020-02-12
240322165,23220709,2671196,12.0,Classic Car Insurance,0.02,2722.47,2022-09-05
240322178,23221503,2677576,,,,,
240324062,23221516,2681765,18.0,Comprehensive Coverage,0.15,28918.26,2022-01-09
240327168,23222134,2685894,18.0,,0.03,,2022-12-11
240327853,23223371,2689827,18.0,Collision Coverage,0.25,35333.04,
240328983,23226444,2703666,,,,3481.0,2023-07-05
240329505,23226475,2717605,60.0,Gap Insurance,0.05,28300.53,2021-07-07
240330731,23228466,2718527,,Liability Insurance,0.15,17811.06,2021-01-06
240331693,23232298,2720129,48.0,Collision Coverage,0.25,150336.0,2022-02-28
240333703,23232458,2733111,60.0,Personal Injury Protection (PIP),,133869.12,2021-06-24
240334064,23232487,2733659,18.0,Liability Insurance,0.15,19349.35,
240334359,23233701,2736099,48.0,,0.25,72714.12,2022-02-27
240338185,23235006,2739117,60.0,Liability Insurance,0.15,,
240338520,23235335,2753832,,,,69038.05,
240339413,23235450,2756385,6.0,Collision Coverage,0.25,,2023-09-12
240339734,23235749,2757495,42.0,Collision Coverage,0.25,51565.34,2023-03-03
240340616,23236230,2758735,12.0,,0.15,24600.58,2023-09-25
240341109,23236804,2759417,18.0,Comprehensive Coverage,,16992.4,
240341878,23236869,2779852,36.0,Gap Insurance,0.05,3808.54,
240341991,23238352,2811696,54.0,Gap Insurance,0.05,31101.68,2021-02-24
240342380,23239763,2833665,18.0,,0.25,16590.41,
240343785,23239933,2834869,36.0,,0.15,,2020-03-10
240345271,23240236,2839576,60.0,Comprehensive Coverage,,102196.98,2021-07-14
240345374,23240325,2856130,12.0,,0.15,,2020-02-17
240345383,23240403,2860047,18.0,Custom Parts and Equipment (CPE),,3403.82,2020-02-07
240345787,23240851,2866140,48.0,,0.05,,2022-04-03
240346182,23240972,2867226,60.0,Collision Coverage,0.25,66307.94,
240347872,23241579,2867799,60.0,Collision Coverage,,225591.25,2022-11-12
240348400,23242105,2870612,12.0,Liability Insurance,0.15,11045.3,2020-04-28
240348932,23243023,2876117,60.0,Gap Insurance,,,
240350424,23245937,2876638,,Personal Injury Protection (PIP),,45379.7,2020-07-01
240352005,23246721,2885541,,,0.05,20497.92,2020-08-07
240352818,23247957,2888625,,Gap Insurance,,3074.12,
240353413,23248175,2907954,18.0,Collision Coverage,0.25,,2022-01-18
240355133,23248638,2915692,30.0,Uninsured/Underinsured Motorist,0.1,37997.52,
240361065,23248642,2916006,54.0,Gap Insurance,0.05,30352.61,2023-10-13
240361270,23251297,2949490,18.0,,0.02,1792.69,2020-03-18
240364673,23251972,2950742,54.0,Personal Injury Protection (PIP),0.15,95034.2,2022-05-27
240366638,23255732,2953506,18.0,,0.25,,2021-06-13
240370285,23255881,2958458,60.0,Classic Car Insurance,0.02,11818.06,
240371896,23256287,2962791,24.0,Collision Coverage,0.25,33086.07,
240372767,23256877,2966454,54.0,Liability Insurance,,,2021-09-17
240373888,23257322,2984563,48.0,Gap Insurance,0.05,,
240374092,23258695,2987288,42.0,Classic Car Insurance,0.02,6521.6,2020-07-21
240375401,23260625,2989663,60.0,Comprehensive Coverage,0.15,63736.18,2021-04-14
240375618,23262154,2995100,48.0,Liability Insurance,0.15,103374.93,2022-09-09
240376736,23262480,3000895,36.0,Collision Coverage,0.25,,2020-03-27
240377491,23263153,3001736,42.0,Uninsured/Underinsured Motorist,0.1,,2020-07-09
240377961,23264915,3003490,,Comprehensive Coverage,0.15,22310.87,2022-08-19
240378092,23265723,3020351,36.0,Comprehensive Coverage,,38599.61,2020-05-05
240379356,23266633,3032485,30.0,Comprehensive Coverage,,,2022-05-25
240380838,23266649,3033276,60.0,Comprehensive Coverage,0.15,63929.06,2023-11-23
240383361,23266998,3040136,,Comprehensive Coverage,,3447.93,2020-08-07
240383881,23267170,3047595,60.0,Custom Parts and Equipment (CPE),0.03,12930.94,2023-11-02
240384811,23267455,3048703,48.0,Liability Insurance,0.15,,
240385362,23268303,3049455,6.0,Collision Coverage,0.25,15691.66,2021-02-08
240385785,23269478,3052417,24.0,Liability Insurance,0.15,21752.06,2023-08-07
240386608,23269661,3062792,48.0,Personal Injury Protection (PIP),0.15,75757.3,2020-07-10
240387650,23270518,3065630,18.0,,0.15,25342.65,2022-01-27
240390493,23270762,3090479,42.0,Comprehensive Coverage,0.15,37754.18,
240391283,23272130,3091991,,,,17198.51,2023-10-13
240392288,23272487,3095874,,Uninsured/Underinsured Motorist,0.1,18246.0,2020-12-21
240393034,23272930,3096853,54.0,Liability Insurance,0.15,,
240393048,23274084,3107064,24.0,Liability Insurance,,39847.99,2023-01-08
240393205,23274524,3128999,,Liability Insurance,0.15,25971.79,2020-05-10
240394534,23275028,3130471,6.0,Uninsured/Underinsured Motorist,0.1,3307.84,2023-05-11
240395246,23275580,3135569,36.0,Personal Injury Protection (PIP),0.15,57102.81,
240395390,23276331,3156073,42.0,Comprehensive Coverage,0.15,86998.18,2022-09-24
240397111,23276737,3159060,6.0,Personal Injury Protection (PIP),0.15,9850.94,
240398392,23277936,3162249,,Personal Injury Protection (PIP),,54520.67,2020-06-20
240401251,23278004,3162326,42.0,Collision Coverage,0.25,88338.58,
240403051,23278589,3166105,54.0,Collision Coverage,0.25,38582.94,2022-11-14
240403070,23278599,3166431,24.0,Uninsured/Underinsured Motorist,0.1,25145.93,2020-07-18
240405182,23279010,3172468,,Personal Injury Protection (PIP),0.15,55743.34,2023-10-02
240405636,23281890,3177503,18.0,Collision Coverage,0.25,27201.21,2022-08-22
240407227,23281953,3178622,12.0,Liability Insurance,0.15,21839.3,2020-06-14
240409137,23282221,3184540,18.0,Collision Coverage,0.25,62636.43,
240409374,23283139,3200320,,,0.15,20552.38,2020-03-16
240412169,23283214,3203605,60.0,,,,2023-06-13
240414111,23284482,3214665,,Collision Coverage,0.25,46098.41,2023-12-03
240414460,23285672,3222999,24.0,,0.02,2450.73,2021-09-24
240415089,23285704,3239195,,Liability Insurance,0.15,16923.64,2020-03-13
240416161,23287025,3240282,18.0,Collision Coverage,0.25,44604.88,2023-06-18
240417640,23287830,3240317,48.0,Collision Coverage,0.25,146071.26,2020-01-16
240419608,23288242,3258374,,Collision Coverage,,114007.23,2022-05-15
240420735,23288679,3289819,18.0,,0.25,,2022-09-11
240421386,23290110,3294499,54.0,,,73507.91,2021-12-25
240424209,23290219,3303002,54.0,Comprehensive Coverage,0.15,102703.6,2021-06-01
240425060,23290287,3330390,54.0,,,,2020-01-16
240425669,23290797,3342844,18.0,Classic Car Insurance,0.02,,2020-07-20
240426799,23292759,3353807,,Gap Insurance,0.05,3268.24,2023-06-02
240427236,23294622,3356671,48.0,,0.15,89581.27,2022-11-13
240428609,23299526,3357551,,Classic Car Insurance,0.02,,
240429474,23300068,3364355,48.0,,0.25,,2023-09-12
240430475,23301874,3365219,6.0,,0.15,,
240430867,23302211,3372809,,,0.15,109459.74,2021-09-03
240431615,23302890,3386452,,Custom Parts and Equipment (CPE),,5931.63,2021-08-18
240432043,23304645,3407332,18.0,Comprehensive Coverage,0.15,,2021-05-12
240433053,23304899,3422006,6.0,Uninsured/Underinsured Motorist,0.1,7206.92,2020-04-02
240438162,23307400,3424831,36.0,Personal Injury Protection (PIP),0.15,45562.49,2023-05-24
240438257,23307654,3426242,,Comprehensive Coverage,0.15,7954.93,
240438822,23309103,3456372,42.0,,0.05,32691.76,
240439165,23309518,3495038,30.0,Classic Car Insurance,0.02,8220.2,2021-07-25
240440617,23310622,3495737,48.0,Personal Injury Protection (PIP),0.15,117148.16,2020-05-14
240441163,23310790,3498920,60.0,Liability Insurance,,122281.62,2022-06-22
240441543,23312719,3502900,36.0,Liability Insurance,0.15,,2023-06-11
240442024,23313053,3509278,30.0,Personal Injury Protection (PIP),0.15,45015.8,2023-05-23
240443553,23313203,3526484,6.0,Personal Injury Protection (PIP),0.15,6232.32,2023-04-15
240443791,23315749,3546284,42.0,Collision Coverage,0.25,,2021-06-08
240443871,23317865,3569737,,Classic Car Insurance,,2401.29,2022-06-19
240443987,23318440,3577267,48.0,Gap Insurance,0.05,,2020-06-27
240445412,23318459,3580959,,,0.25,24952.9,2021-01-20
240445685,23318966,3592154,60.0,Collision Coverage,0.25,105289.32,2021-07-20
240445942,23319013,3607880,54.0,Custom Parts and Equipment (CPE),,22468.31,2023-08-18
240448292,23319078,3608620,60.0,Gap Insurance,0.05,46501.16,2020-07-05
240448698,23320476,3611524,42.0,Liability Insurance,0.15,43096.37,2021-09-14
240458165,23320805,3613303,60.0,Collision Coverage,0.25,124457.91,2022-10-23
240458548,23321961,3615083,48.0,Gap Insurance,0.05,,2022-10-23
240459062,23322085,3615422,,,0.15,6725.36,2021-09-06
240459575,23322816,3621849,6.0,Gap Insurance,0.05,3828.36,2023-06-06
240460766,23326464,3623481,42.0,Liability Insurance,0.15,95474.04,
240461393,23326576,3631590,54.0,Collision Coverage,0.25,28236.64,2023-05-14
240461906,23328066,3634457,18.0,Collision Coverage,0.25,42092.73,
240462030,23328195,3634548,48.0,Comprehensive Coverage,0.15,123947.17,2021-04-10
240462747,23328967,3638330,24.0,Comprehensive Coverage,0.15,13944.3,2022-03-19
240463003,23329934,3649596,,Liability Insurance,0.15,,2020-06-19
240464594,23331597,3653474,6.0,,0.05,2565.19,2022-03-28
240465255,23331861,3653708,,,,81706.06,
240466673,23333947,3660313,,,,9780.66,2022-10-26
240467931,23335127,3672265,6.0,Personal Injury Protection (PIP),0.15,,2020-02-14
240471206,23335144,3693275,,,0.1,75242.06,2023-09-18
240471269,23335422,3696927,12.0,Collision Coverage,,45072.96,2020-01-26
240471606,23336331,3698289,,Uninsured/Underinsured Motorist,0.1,5691.15,2022-08-10
240472196,23336824,3703166,6.0,,0.15,,2021-02-22
240474352,23337128,3704191,48.0,Liability Insurance,0.15,93940.08,2021-12-16
240474939,23339851,3711682,60.0,Classic Car Insurance,0.02,14406.95,
240475009,23340938,3732943,60.0,Liability Insurance,0.15,,
240475031,23341621,3740247,30.0,Collision Coverage,0.25,40411.05,2021-10-22
240475497,23343949,3747059,36.0,Uninsured/Underinsured Motorist,0.1,,2021-05-19
240475904,23346067,3748892,,Collision Coverage,0.25,42444.2,2020-12-06
240476850,23346621,3759214,48.0,Collision Coverage,,52899.54,2020-10-21
240477583,23349491,3777479,12.0,Liability Insurance,0.15,,2020-02-17
240478927,23350881,3798476,54.0,Gap Insurance,0.05,31139.19,2021-05-28
240479423,23350949,3799255,48.0,Liability Insurance,,98142.56,2023-08-17
240480275,23351563,3802256,60.0,,0.02,4648.25,2020-11-04
240480918,23351578,3834175,24.0,,0.25,35147.42,
240481211,23352425,3861011,36.0,Collision Coverage,0.25,68155.83,2023-08-03
240482303,23354100,3861101,36.0,Collision Coverage,,94701.38,2020-08-26
240482861,23355969,3868791,6.0,Personal Injury Protection (PIP),0.15,,2021-08-07
240484668,23356743,3887486,48.0,Gap Insurance,0.05,,
240486087,23357236,3893184,6.0,Uninsured/Underinsured Motorist,0.1,,
240490805,23358571,3894325,6.0,,,6723.56,2023-07-03
240491195,23358598,3902818,12.0,,0.15,27273.92,
240491373,23358804,3905243,18.0,,0.15,37646.28,2021-09-02
240491823,23359750,3914221,24.0,Liability Insurance,0.15,,2020-08-17
240492157,23360406,3918874,60.0,Collision Coverage,0.25,150846.64,2023-04-23
240492301,23361631,3921029,60.0,Classic Car Insurance,0.02,14514.92,
240493746,23361897,3923964,30.0,Gap Insurance,,19782.62,2020-12-04
240495743,23362058,3928087,12.0,Collision Coverage,,22114.46,2021-11-23
240495778,23362087,3929732,36.0,Classic Car Insurance,,1634.55,2023-07-04
240497161,23362919,3930220,6.0,Liability Insurance,0.15,13314.52,2020-07-18
240498516,23363556,3948881,24.0,,,6023.43,2023-01-26
240499645,23364097,3962847,60.0,Gap Insurance,0.05,34035.28,2023-08-02
240501800,23364264,3975058,,Comprehensive Coverage,0.15,20677.43,2022-11-13
240502879,23365380,3975450,6.0,Comprehensive Coverage,,8796.65,2022-08-08
240505202,23365548,3975587,36.0,Comprehensive Coverage,0.15,35686.7,2023-09-20
240506011,23370150,3984204,48.0,Classic Car Insurance,0.02,11273.56,2021-11-03
240506966,23370978,3994459,48.0,Comprehensive Coverage,0.15,102247.15,2023-08-21
240507331,23371403,4001927,30.0,Comprehensive Coverage,0.15,56587.62,2020-12-06
240507700,23371836,4002913,24.0,Liability Insurance,,32297.03,
240508611,23371979,4005052,36.0,Classic Car Insurance,0.02,6515.35,
240509643,23372777,4007306,60.0,Liability Insurance,0.15,139439.2,
240510728,23373638,4009301,,,0.25,141957.25,2020-11-09
240510940,23375251,4009864,54.0,Classic Car Insurance,,2784.64,2023-03-14
240511040,23375509,4010564,,Uninsured/Underinsured Motorist,0.1,47146.8,
240514553,23376606,4023238,,Liability Insurance,,21722.09,2020-09-12
240517878,23376622,4033058,12.0,Comprehensive Coverage,0.15,,2021-05-07
240517957,23379241,4037217,,,0.15,20462.35,2022-04-21
240518274,23379626,4037666,36.0,Collision Coverage,,102250.86,
240518636,23380248,4044924,30.0,Uninsured/Underinsured Motorist,,31693.32,2021-12-21
240519160,23380553,4060939,30.0,,,28276.79,2021-06-13
240519814,23380747,4063450,,Collision Coverage,0.25,32865.71,2021-01-21
